ID;Helicity;uH;NCPR;Length;Total contacts;Type
ASYNP102;10.4;0.2;0.09;33;4.06;aSynPEP-DB
ASYNP103;13.9;0.38;0.1;31;3.5;aSynPEP-DB
ASYNP104;7.1;0.35;0.28;33;9.57;aSynPEP-DB
ASYNP105;3.8;0.37;0.06;32;4.55;aSynPEP-DB
ASYNP106;1.4;0.23;0.1;21;3.65;aSynPEP-DB
ASYNP107;12.0;0.23;0.19;27;9.52;aSynPEP-DB
ASYNP108;1.9;0.47;0.11;18;1.82;aSynPEP-DB
ASYNP109;1.4;0.35;0.15;37;40.3;aSynPEP-DB
ASYNP110;1.6;0.63;0.33;18;63.32;aSynPEP-DB
ASYNP111;2.1;0.29;0.2;25;14.92;aSynPEP-DB
ASYNP112;1.1;0.28;0.32;25;136.6;aSynPEP-DB
ASYNP113;4.8;0.52;0.16;37;97.2;aSynPEP-DB
ASYNP114;1.9;0.58;0.11;18;1.29;aSynPEP-DB
ASYNP115;3.2;0.23;0.06;31;0.46;aSynPEP-DB
ASYNP116;1.5;0.49;0.29;25;119.44;aSynPEP-DB
ASYNP117;3.6;0.2;0.1;23;3.26;aSynPEP-DB
ASYNP118;1.1;0.28;0.09;23;2.9;aSynPEP-DB
ASYNP119;1.1;0.24;0.1;32;0.63;aSynPEP-DB
ASYNP120;1.1;0.3;0.24;34;126.44;aSynPEP-DB
ASYNP121;1.1;0.25;0.31;26;124.49;aSynPEP-DB
ASYNP122;10.6;0.45;0.18;36;2.06;aSynPEP-DB
ASYNP123;42.5;0.34;0.1;39;0.11;aSynPEP-DB
EXTER001;2.7;0.56;0.1;22;2.61;aSynPEP-DB
NEG_Hel_001;0.4;0.06;0.1;34;1.33;Negative
NEG_Hel_002;0.4;0.25;0.14;36;36.4;Negative
NEG_Hel_003;0.3;0.14;0.11;40;7.02;Negative
NEG_Hel_004;0.1;0.37;0.07;19;4.2;Negative
NEG_Hel_005;0.9;0.26;0.13;39;71.93;Negative
NEG_Hel_006;0.7;0.31;0.24;33;150.06;Negative
NEG_Hel_007;0;0.33;0.16;38;38.28;Negative
NEG_Hel_008;0.8;0.11;0.29;31;185.09;Negative
NEG_Hel_009;0.5;0.19;0.11;47;42.72;Negative
NEG_Hel_010;0.5;0.31;0.2;30;35.1;Negative
NEG_Hel_011;0.5;0.33;0.15;20;6.25;Negative
NEG_Hel_012;0.2;0.11;0.2;29;7.1;Negative
NEG_Hel_013;0.1;0.29;0.2;25;22.09;Negative
NEG_Hel_014;0.1;0.06;0.06;18;0.58;Negative
NEG_Hel_015;0.7;0.13;0.07;49;16.53;Negative
NEG_Hel_016;0.5;0.19;0.1;42;14.28;Negative
NEG_Hel_017;0.4;0.09;0.07;43;5.58;Negative
NEG_Hel_018;0.1;0.18;0.26;19;8.09;Negative
NEG_Hel_019;0.3;0.2;0.23;40;176.02;Negative
NEG_Hel_020;0.8;0.12;0.29;34;183.43;Negative
NEG_Hel_021;0;0.1;0.26;39;190.72;Negative
NEG_Hel_022;0.2;0.14;0.2;20;14.39;Negative
NEG_Hel_023;0.7;0.03;0.14;36;60.71;Negative
NEG_Hel_024;0.3;0.06;0.1;32;3.45;Negative
NEG_Hel_025;0.1;0.19;0.14;22;12.48;Negative
NEG_Hel_026;0.8;0.22;0.28;33;158.59;Negative
NEG_Hel_027;0.5;0.08;0.16;31;57.51;Negative
NEG_Hel_028;0.7;0.16;0.1;38;5.06;Negative
NEG_Hel_029;0.2;0.46;0.37;27;143.44;Negative
NEG_Hel_030;0.5;0.21;0.2;24;20.44;Negative
NEG_Hel_031;0.5;0.42;0.39;18;74.44;Negative
NEG_Hel_032;0.3;0.42;0.11;20;4.01;Negative
NEG_Hel_033;0.6;0.11;0.1;43;18.19;Negative
NEG_Hel_034;0.9;0.18;0.21;39;147.47;Negative
NEG_Hel_035;0.7;0.41;0.17;24;4.21;Negative
NEG_Hel_036;0.1;0.21;0.28;18;48.41;Negative
NEG_Hel_037;0.4;0.11;0.2;30;14.54;Negative
NEG_Hel_038;0.3;0.04;0.2;29;19.0;Negative
NEG_Hel_039;0.4;0.35;0.2;25;64.62;Negative
NEG_Hel_040;0.3;0.33;0.37;25;134.9;Negative
NEG_Hel_041;0.1;0.15;0.15;20;8.2;Negative
NEG_Hel_042;0.6;0.13;0.1;24;10.04;Negative
NEG_Hel_043;0.1;0.01;0.09;32;5.89;Negative
NEG_Hel_044;0.4;0.09;0.1;34;3.36;Negative
NEG_Hel_045;0.1;0.04;0.09;32;3.07;Negative
NEG_Hel_046;0.2;0.23;0.1;22;0.98;Negative
NEG_Hel_047;0.6;0.32;0.1;29;4.35;Negative
NEG_Hel_048;0.2;0.33;0.16;39;145.75;Negative
NEG_Hel_049;0.5;0.3;0.16;26;10.82;Negative
NEG_Hel_050;0.5;0.37;0.29;21;52.72;Negative
NEG_Hel_051;0.3;0.19;0.1;29;12.86;Negative
NEG_Hel_052;0.6;0.26;0.1;29;14.01;Negative
NEG_Hel_053;0.3;0.17;0.1;41;31.38;Negative
NEG_Hel_054;0.4;0.09;0.1;41;9.96;Negative
NEG_Hel_055;0.8;0.14;0.1;38;3.39;Negative
NEG_Hel_056;0.5;0.13;0.1;27;8.02;Negative
NEG_Hel_057;0.4;0.03;0.1;30;30.0;Negative
NEG_Hel_058;0.9;0.51;0.31;29;143.89;Negative
NEG_Hel_059;0.5;0.04;0.37;19;129.37;Negative
NEG_Hel_060;0.6;0.04;0.19;47;133.74;Negative
NEG_Hel_061;0.1;0.2;0.13;24;3.29;Negative
NEG_Hel_062;0.2;0.26;0.3;28;139.82;Negative
NEG_Hel_063;0.2;0.24;0.22;42;195.23;Negative
NEG_Hel_064;0.4;0.04;0.39;18;121.69;Negative
NEG_Hel_065;0.3;0.2;0.1;49;9.25;Negative
NEG_Hel_066;0.2;0.39;0.2;30;7.82;Negative
NEG_Hel_067;0.2;0.51;0.15;20;11.12;Negative
NEG_Hel_068;0.1;0.25;0.11;38;39.05;Negative
NEG_Hel_069;0.7;0.23;0.19;36;93.45;Negative
NEG_Hel_070;0.3;0.21;0.2;36;65.6;Negative
NEG_Hel_071;0.3;0.1;0.16;38;92.29;Negative
NEG_Hel_072;0.4;0.15;0.08;38;17.01;Negative
NEG_Hel_073;0.6;0.05;0.33;18;99.78;Negative
NEG_Hel_074;0.2;0.59;0.06;23;3.25;Negative
NEG_Hel_075;0.2;0.44;0.06;18;0.8;Negative
NEG_Hel_076;0.5;0.2;0.16;37;39.31;Negative
NEG_Hel_077;0.1;0.21;0.1;22;4.3;Negative
NEG_Hel_078;0;0.09;0.25;40;201.91;Negative
NEG_Hel_079;0.2;0.25;0.2;31;23.67;Negative
NEG_Hel_080;0.9;0.26;0.1;31;3.44;Negative
NEG_Hel_081;0.8;0.34;0.2;40;128.76;Negative
NEG_Hel_082;0.1;0.26;0.21;24;26.32;Negative
NEG_Hel_083;0.1;0;0.2;18;23.11;Negative
NEG_Hel_084;0.9;0.32;0.08;25;0.77;Negative
NEG_Hel_085;0.8;0.08;0.1;47;10.39;Negative
NEG_Hel_086;0.5;0.1;0.2;45;174.85;Negative
NEG_Hel_087;0.2;0.26;0.18;33;56.09;Negative
NEG_Hel_088;0.5;0.12;0.1;43;2.39;Negative
NEG_Hel_089;0.6;0.08;0.42;19;88.49;Negative
NEG_Hel_090;0.6;0.09;0.16;20;2.0;Negative
NEG_Hel_091;0.6;0.21;0.1;37;3.01;Negative
NEG_Hel_092;0.7;0.23;0.1;31;6.5;Negative
NEG_Hel_093;0.8;0.14;0.11;37;6.56;Negative
NEG_Hel_094;0.3;0.15;0.1;30;1.1;Negative
NEG_Hel_095;0.3;0.42;0.35;37;188.26;Negative
NEG_Hel_096;0.7;0.14;0.2;34;88.39;Negative
NEG_Hel_097;0.7;0.15;0.1;31;1.23;Negative
NEG_Hel_098;0.4;0.16;0.1;31;20.57;Negative
NEG_Hel_099;0.3;0.21;0.1;28;15.24;Negative
NEG_Hel_100;0.1;0.3;0.23;27;15.24;Negative
NEG_Hel_101;0.2;0.54;0.06;23;2.31;Negative
NEG_Hel_102;0.3;0.15;0.09;46;14.31;Negative
NEG_Hel_103;0.5;0.09;0.1;35;18.94;Negative
NEG_Hel_104;0;0.21;0.23;36;146.85;Negative
NEG_Hel_105;0.3;0.17;0.1;33;1.14;Negative
