ID;Helicity;uH;NCPR;Length;Total contacts;Type
ASYNP102;10.4;0.2;0.09;33;4.06;aSynPEP-DB
ASYNP103;13.9;0.38;0.1;31;3.5;aSynPEP-DB
ASYNP104;7.1;0.35;0.28;33;9.57;aSynPEP-DB
ASYNP105;3.8;0.37;0.06;32;4.55;aSynPEP-DB
ASYNP106;1.4;0.23;0.1;21;3.65;aSynPEP-DB
ASYNP107;12.0;0.23;0.19;27;9.52;aSynPEP-DB
ASYNP108;1.9;0.47;0.11;18;1.82;aSynPEP-DB
ASYNP109;1.4;0.35;0.15;37;40.3;aSynPEP-DB
ASYNP110;1.6;0.63;0.33;18;63.32;aSynPEP-DB
ASYNP111;2.1;0.29;0.2;25;14.92;aSynPEP-DB
ASYNP112;1.1;0.28;0.32;25;136.6;aSynPEP-DB
ASYNP113;4.8;0.52;0.16;37;97.2;aSynPEP-DB
ASYNP114;1.9;0.58;0.11;18;1.29;aSynPEP-DB
ASYNP115;3.2;0.23;0.06;31;0.46;aSynPEP-DB
ASYNP116;1.5;0.49;0.29;25;119.44;aSynPEP-DB
ASYNP117;3.6;0.2;0.1;23;3.26;aSynPEP-DB
ASYNP118;1.1;0.28;0.09;23;2.9;aSynPEP-DB
ASYNP119;1.1;0.24;0.1;32;0.63;aSynPEP-DB
ASYNP120;1.1;0.3;0.24;34;126.44;aSynPEP-DB
ASYNP121;1.1;0.25;0.31;26;124.49;aSynPEP-DB
ASYNP122;10.6;0.45;0.18;36;2.06;aSynPEP-DB
ASYNP123;42.5;0.34;0.1;39;0.11;aSynPEP-DB
EXTER001;2.7;0.56;0.1;22;2.61;aSynPEP-DB
NEG_uH_001;0.8;0.11;0.29;31;189.49;Negative
NEG_uH_002;0.1;0.07;0.1;18;0.66;Negative
NEG_uH_003;0.1;0.18;0.26;19;8.23;Negative
NEG_uH_004;0.1;0.19;0.14;22;7.9;Negative
NEG_uH_005;0;0.03;0.22;52;217.5;Negative
NEG_uH_006;0.2;0.11;0.1;34;1.01;Negative
NEG_uH_007;0.7;0.12;0.06;18;0.37;Negative
NEG_uH_008;0.6;0.15;0.1;43;20.51;Negative
NEG_uH_009;0.1;0.17;0.2;21;11.34;Negative
NEG_uH_010;1.1;0.12;0.1;24;0.81;Negative
NEG_uH_011;0.7;0.07;0.08;48;25.88;Negative
NEG_uH_012;0.5;0.04;0.1;29;15.14;Negative
NEG_uH_013;0.9;0.16;0.3;32;174.43;Negative
NEG_uH_014;0.4;0.09;0.1;34;2.18;Negative
NEG_uH_015;0.5;0.17;0.3;25;68.22;Negative
NEG_uH_016;0.9;0.18;0.1;23;3.65;Negative
NEG_uH_017;0.2;0.14;0.2;20;22.17;Negative
NEG_uH_018;0.2;0.19;0.08;37;7.69;Negative
NEG_uH_019;0.7;0.14;0.2;34;82.2;Negative
NEG_uH_020;0.3;0.04;0.22;36;123.59;Negative
NEG_uH_021;0.6;0.13;0.1;24;9.55;Negative
NEG_uH_022;0.3;0.03;0.13;47;66.83;Negative
NEG_uH_023;0.9;0.18;0.2;40;181.9;Negative
NEG_uH_024;0.6;0.05;0.33;18;99.22;Negative
NEG_uH_025;0.1;0.1;0.1;26;3.72;Negative
NEG_uH_026;0.5;0.15;0.1;20;3.84;Negative
NEG_uH_027;0.3;0.08;0.1;44;6.08;Negative
NEG_uH_028;0.7;0.13;0.07;49;11.68;Negative
NEG_uH_029;0.1;0.06;0.06;18;0.47;Negative
NEG_uH_030;0.2;0.12;0.1;46;4.81;Negative
NEG_uH_031;0.4;0.14;0.13;30;12.72;Negative
NEG_uH_032;0.3;0.14;0.13;46;43.63;Negative
NEG_uH_033;0.1;0.04;0.09;32;5.37;Negative
NEG_uH_034;0.8;0.14;0.11;37;3.4;Negative
NEG_uH_035;0.4;0.04;0.39;18;88.1;Negative
NEG_uH_036;0.9;0.14;0.31;39;192.68;Negative
NEG_uH_037;0.4;0.11;0.1;29;12.25;Negative
NEG_uH_038;0.5;0.12;0.1;43;6.76;Negative
NEG_uH_039;0.2;0.11;0.1;25;1.91;Negative
NEG_uH_040;0.4;0.07;0.1;36;3.49;Negative
NEG_uH_041;0.3;0.15;0.17;26;16.23;Negative
NEG_uH_042;0.6;0.13;0.1;39;1.52;Negative
NEG_uH_043;0.3;0.19;0.1;29;14.77;Negative
NEG_uH_044;0;0.1;0.26;43;214.87;Negative
NEG_uH_045;0.3;0.12;0.15;33;49.07;Negative
NEG_uH_046;0.5;0.19;0.1;42;13.3;Negative
NEG_uH_047;0.8;0.11;0.29;31;189.72;Negative
NEG_uH_048;0.2;0.11;0.23;31;159.56;Negative
NEG_uH_049;0.4;0.16;0.1;30;1.51;Negative
NEG_uH_050;0.4;0.09;0.07;43;2.13;Negative
NEG_uH_051;0.5;0.04;0.37;19;130.87;Negative
NEG_uH_052;0.8;0.14;0.1;38;2.49;Negative
NEG_uH_053;0.5;0.08;0.16;31;58.35;Negative
NEG_uH_054;0.9;0.12;0.23;39;143.89;Negative
NEG_uH_055;0.7;0.17;0.08;38;4.65;Negative
NEG_uH_056;0.5;0.1;0.2;45;195.68;Negative
NEG_uH_057;0.5;0.11;0.13;46;71.46;Negative
NEG_uH_058;0.4;0.03;0.1;30;15.34;Negative
NEG_uH_059;0.3;0.1;0.16;38;87.24;Negative
NEG_uH_060;0.4;0.14;0.1;33;16.73;Negative
NEG_uH_061;0.2;0.09;0.1;43;69.57;Negative
NEG_uH_062;0.7;0.15;0.09;34;3.7;Negative
NEG_uH_063;0.4;0.13;0.3;20;120.44;Negative
NEG_uH_064;0.6;0.12;0.17;35;83.82;Negative
NEG_uH_065;0.3;0.15;0.1;30;1.11;Negative
NEG_uH_066;0.3;0.12;0.1;32;8.07;Negative
NEG_uH_067;0.2;0.19;0.3;36;154.52;Negative
NEG_uH_068;0.3;0.17;0.1;41;34.87;Negative
NEG_uH_069;0.3;0.12;0.1;36;24.13;Negative
NEG_uH_070;1.3;0.08;0.22;23;19.66;Negative
NEG_uH_071;0.3;0.06;0.1;32;1.64;Negative
NEG_uH_072;0.4;0.06;0.1;34;1.0;Negative
NEG_uH_073;0.3;0.17;0.1;40;22.42;Negative
NEG_uH_074;1;0.12;0.2;28;5.77;Negative
NEG_uH_075;0.2;0.11;0.2;29;3.89;Negative
NEG_uH_076;0.6;0.03;0.11;46;29.68;Negative
NEG_uH_077;0.2;0.01;0.1;33;21.06;Negative
NEG_uH_078;0.4;0.06;0.1;32;7.45;Negative
NEG_uH_079;0.4;0.06;0.1;24;1.33;Negative
NEG_uH_080;0.5;0.02;0.13;46;54.2;Negative
NEG_uH_081;0.9;0.18;0.21;39;146.79;Negative
NEG_uH_082;0.2;0.08;0.08;29;1.62;Negative
NEG_uH_083;0.7;0.03;0.14;36;48.21;Negative
NEG_uH_084;0;0.09;0.25;40;197.87;Negative
NEG_uH_085;0.8;0.12;0.29;34;184.86;Negative
NEG_uH_086;0.4;0.04;0.37;19;120.59;Negative
NEG_uH_087;0.1;0.04;0.1;22;0.76;Negative
NEG_uH_088;0.4;0.09;0.1;41;32.27;Negative
NEG_uH_089;0.3;0.14;0.11;40;4.45;Negative
NEG_uH_090;0.3;0.19;0.23;40;158.69;Negative
NEG_uH_091;1;0.12;0.1;27;11.32;Negative
NEG_uH_092;0.3;0.12;0.1;37;6.58;Negative
NEG_uH_093;0.4;0.16;0.2;32;49.06;Negative
NEG_uH_094;0.2;0.19;0.08;36;2.83;Negative
NEG_uH_095;0.6;0.11;0.1;43;11.98;Negative
NEG_uH_096;0.3;0.16;0.1;22;3.02;Negative
NEG_uH_097;0.1;0.1;0.1;29;2.47;Negative
NEG_uH_098;0.9;0.15;0.11;37;7.58;Negative
NEG_uH_099;0.7;0.18;0.1;37;8.49;Negative
NEG_uH_100;0.1;0.01;0.09;32;4.44;Negative
NEG_uH_101;0.4;0.16;0.16;40;75.37;Negative
NEG_uH_102;0.6;0.14;0.27;34;140.17;Negative
NEG_uH_103;0.5;0.03;0.1;43;3.24;Negative
NEG_uH_104;0.3;0.17;0.1;28;34.13;Negative
NEG_uH_105;0.3;0.13;0.12;33;21.79;Negative
